doc_id,font_size,num_paragraphs,laplacian_variance_spearman_rho,laplacian_variance_pvalue,tenengrad_spearman_rho,tenengrad_pvalue,gradient_magnitude_mean_spearman_rho,gradient_magnitude_mean_pvalue
doc_001,14,2,-0.9833333333333333,1.936196303745927e-06,-1.0,0.0,-1.0,0.0
doc_002,14,2,-1.0,0.0,-1.0,0.0,-1.0,0.0
doc_003,14,5,-1.0,0.0,-1.0,0.0,-1.0,0.0
doc_004,14,5,-1.0,0.0,-1.0,0.0,-1.0,0.0
doc_005,20,2,-1.0,0.0,-1.0,0.0,-1.0,0.0
doc_006,20,2,-1.0,0.0,-1.0,0.0,-1.0,0.0
doc_007,20,5,-1.0,0.0,-1.0,0.0,-1.0,0.0
doc_008,20,5,-1.0,0.0,-1.0,0.0,-1.0,0.0
doc_009,28,2,-1.0,0.0,-1.0,0.0,-1.0,0.0
doc_010,28,2,-1.0,0.0,-1.0,0.0,-1.0,0.0
doc_011,28,5,-1.0,0.0,-1.0,0.0,-1.0,0.0
doc_012,28,5,-1.0,0.0,-1.0,0.0,-1.0,0.0
