doc_id,global_mean_spearman_rho,p5_spearman_rho,p25_spearman_rho,p50_spearman_rho,darkest_block_mean_spearman_rho
doc_001,-1.0,,,,-0.9856107606091623
doc_002,-1.0,-0.8451542547285166,,,-1.0
doc_003,-1.0,-0.9411239481143202,,,-0.9856107606091623
doc_004,-1.0,-0.8451542547285166,,,-0.9856107606091623
doc_005,-1.0,-0.9411239481143202,,,-0.8451542547285166
doc_006,-1.0,-0.8451542547285166,,,-0.8451542547285166
doc_007,-1.0,-0.8280786712108252,,,-0.8451542547285166
doc_008,-1.0,,,,-0.8451542547285166
doc_009,-1.0,,,,-0.6546536707079772
doc_010,-1.0,,,,-0.6546536707079772
doc_011,-1.0,,,,-0.6546536707079772
doc_012,-1.0,,,,-0.6546536707079772
