doc_id,severity_level,darkening_factor,global_mean,darkest_block_mean,p5,p25,p50,p75,p95
doc_001,0,1.0,250.2461871657754,167.88671875,255.0,255.0,255.0,255.0,255.0
doc_001,1,0.85,250.14116898395721,167.88671875,255.0,255.0,255.0,255.0,255.0
doc_001,2,0.7,250.0388513368984,144.3984375,255.0,255.0,255.0,255.0,255.0
doc_001,3,0.55,249.93654010695187,113.5234375,255.0,255.0,255.0,255.0,255.0
doc_001,4,0.4,249.83422994652406,82.6796875,255.0,255.0,255.0,255.0,255.0
doc_001,5,0.25,249.72938395721926,51.08203125,255.0,255.0,255.0,255.0,255.0
doc_002,0,1.0,246.62195080213903,167.88671875,227.0,255.0,255.0,255.0,255.0
doc_002,1,0.85,246.51786844919786,167.60546875,216.0,255.0,255.0,255.0,255.0
doc_002,2,0.7,246.41646951871658,138.0625,213.0,255.0,255.0,255.0,255.0
doc_002,3,0.55,246.31506844919787,108.53125,213.0,255.0,255.0,255.0,255.0
doc_002,4,0.4,246.21367165775402,79.015625,213.0,255.0,255.0,255.0,255.0
doc_002,5,0.25,246.10980855614974,48.8984375,213.0,255.0,255.0,255.0,255.0
doc_003,0,1.0,240.7563668449198,167.88671875,104.0,255.0,255.0,255.0,255.0
doc_003,1,0.85,240.65295187165776,167.88671875,104.0,255.0,255.0,255.0,255.0
doc_003,2,0.7,240.55217647058822,140.10546875,104.0,255.0,255.0,255.0,255.0
doc_003,3,0.55,240.4514310160428,110.1484375,103.0,255.0,255.0,255.0,255.0
doc_003,4,0.4,240.35068770053476,80.1953125,102.0,255.0,255.0,255.0,255.0
doc_003,5,0.25,240.24751229946523,49.61328125,99.0,255.0,255.0,255.0,255.0
doc_004,0,1.0,240.6042780748663,167.88671875,103.0,255.0,255.0,255.0,255.0
doc_004,1,0.85,240.5000513368984,167.88671875,103.0,255.0,255.0,255.0,255.0
doc_004,2,0.7,240.3985240641711,144.3984375,103.0,255.0,255.0,255.0,255.0
doc_004,3,0.55,240.2969935828877,113.5546875,103.0,255.0,255.0,255.0,255.0
doc_004,4,0.4,240.1954588235294,82.65625,102.0,255.0,255.0,255.0,255.0
doc_004,5,0.25,240.09145454545455,51.1328125,99.0,255.0,255.0,255.0,255.0
doc_005,0,1.0,239.42415935828876,84.78515625,78.0,255.0,255.0,255.0,255.0
doc_005,1,0.85,239.2618898395722,84.78515625,77.0,255.0,255.0,255.0,255.0
