card_id,color_scheme,severity_level,target_area_fraction,glare_ratio
card_001_mavi_gri,mavi_gri,0,0.0,0.0
card_001_mavi_gri,mavi_gri,1,0.03,0.03173459674627899
card_001_mavi_gri,mavi_gri,2,0.06,0.06828703703703703
card_001_mavi_gri,mavi_gri,3,0.1,0.12384259259259259
card_001_mavi_gri,mavi_gri,4,0.15,0.19271157840083072
card_001_mavi_gri,mavi_gri,5,0.22,0.2859315507095881
card_002_mavi_gri,mavi_gri,0,0.0,0.0
card_002_mavi_gri,mavi_gri,1,0.03,0.03173459674627899
card_002_mavi_gri,mavi_gri,2,0.06,0.06828703703703703
card_002_mavi_gri,mavi_gri,3,0.1,0.12612062997577017
card_002_mavi_gri,mavi_gri,4,0.15,0.19492255105572862
card_002_mavi_gri,mavi_gri,5,0.22,0.2843046902042229
card_003_mavi_gri,mavi_gri,0,0.0,0.0
card_003_mavi_gri,mavi_gri,1,0.03,0.03173459674627899
card_003_mavi_gri,mavi_gri,2,0.06,0.06828703703703703
card_003_mavi_gri,mavi_gri,3,0.1,0.12514494634821738
card_003_mavi_gri,mavi_gri,4,0.15,0.1920322776047075
card_003_mavi_gri,mavi_gri,5,0.22,0.278457078573901
card_004_mavi_gri,mavi_gri,0,0.0,0.0
card_004_mavi_gri,mavi_gri,1,0.03,0.03173459674627899
card_004_mavi_gri,mavi_gri,2,0.06,0.06828703703703703
card_004_mavi_gri,mavi_gri,3,0.1,0.12384259259259259
card_004_mavi_gri,mavi_gri,4,0.15,0.18978885427483558
card_004_mavi_gri,mavi_gri,5,0.22,0.2753245067497404
card_005_bej,bej,0,0.0,0.0
card_005_bej,bej,1,0.03,0.05964217722395292
card_005_bej,bej,2,0.06,0.12957554517133957
card_005_bej,bej,3,0.1,0.21909830391138801
card_005_bej,bej,4,0.15,0.34316372447213567
card_005_bej,bej,5,0.22,0.47807848736587055
card_006_bej,bej,0,0.0,0.0
card_006_bej,bej,1,0.03,0.05964217722395292
card_006_bej,bej,2,0.06,0.13037383177570094
card_006_bej,bej,3,0.1,0.22107346832814123
card_006_bej,bej,4,0.15,0.343265403253721
card_006_bej,bej,5,0.22,0.4786950501903773
card_007_bej,bej,0,0.0,0.0
card_007_bej,bej,1,0.03,0.05964217722395292
card_007_bej,bej,2,0.06,0.13028729664243682
card_007_bej,bej,3,0.1,0.22000692281066112
card_007_bej,bej,4,0.15,0.3390446521287643
card_007_bej,bej,5,0.22,0.47052397023191417
card_008_bej,bej,0,0.0,0.0
card_008_bej,bej,1,0.03,0.05964217722395292
card_008_bej,bej,2,0.06,0.12956905503634475
card_008_bej,bej,3,0.1,0.21517393561786086
card_008_bej,bej,4,0.15,0.3339325891311873
card_008_bej,bej,5,0.22,0.4647196261682243
card_009_yesilimsi,yesilimsi,0,0.0,0.0
card_009_yesilimsi,yesilimsi,1,0.03,0.027881619937694703
card_009_yesilimsi,yesilimsi,2,0.06,0.05963352371062652
card_009_yesilimsi,yesilimsi,3,0.1,0.10597957770854967
card_009_yesilimsi,yesilimsi,4,0.15,0.16672507788161994
card_009_yesilimsi,yesilimsi,5,0.22,0.2470556420906888
card_010_yesilimsi,yesilimsi,0,0.0,0.0
card_010_yesilimsi,yesilimsi,1,0.03,0.027881619937694703
card_010_yesilimsi,yesilimsi,2,0.06,0.05963352371062652
card_010_yesilimsi,yesilimsi,3,0.1,0.10597957770854967
card_010_yesilimsi,yesilimsi,4,0.15,0.1652215299411561
card_010_yesilimsi,yesilimsi,5,0.22,0.24206689165801315
card_011_yesilimsi,yesilimsi,0,0.0,0.0
card_011_yesilimsi,yesilimsi,1,0.03,0.027881619937694703
card_011_yesilimsi,yesilimsi,2,0.06,0.05963352371062652
card_011_yesilimsi,yesilimsi,3,0.1,0.10597957770854967
card_011_yesilimsi,yesilimsi,4,0.15,0.1653794565593631
card_011_yesilimsi,yesilimsi,5,0.22,0.24249524056767047
card_012_yesilimsi,yesilimsi,0,0.0,0.0
card_012_yesilimsi,yesilimsi,1,0.03,0.027881619937694703
card_012_yesilimsi,yesilimsi,2,0.06,0.05963352371062652
card_012_yesilimsi,yesilimsi,3,0.1,0.10597957770854967
card_012_yesilimsi,yesilimsi,4,0.15,0.16593111803392177
card_012_yesilimsi,yesilimsi,5,0.22,0.2449766355140187
