font_size,blur_sigma,glare_ml_ratio
16,0.0,0.0022197558268590455
16,1.0,0.25
16,2.0,0.25
16,4.0,0.25
16,6.0,0.25
16,8.0,0.25
22,0.0,0.004439511653718091
22,1.0,0.25
22,2.0,0.25
22,4.0,0.25
22,6.0,0.25
22,8.0,0.25
12,0.0,0.0
12,1.0,0.1120976692563818
12,2.0,0.12957824639289678
12,4.0,0.1293007769145394
12,6.0,0.1220865704772475
12,8.0,0.12319644839067703
26,0.0,0.005271920088790233
26,1.0,0.25
26,2.0,0.25
26,4.0,0.25
26,6.0,0.25
26,8.0,0.25
18,0.0,0.004439511653718091
18,1.0,0.21587125416204217
18,2.0,0.25
18,4.0,0.25
18,6.0,0.25
18,8.0,0.25
24,0.0,0.015815760266370698
24,1.0,0.25
24,2.0,0.25
24,4.0,0.25
24,6.0,0.25
24,8.0,0.25
