doc_id,severity_level,target_area_fraction,ground_truth_glare_fraction,glare_ml_ratio
held_out_16_3,0,0.0,0.0,0.001942286348501665
held_out_16_3,1,0.03,0.03003059339644424,0.08129855715871254
held_out_16_3,2,0.06,0.06003521126760564,0.05799112097669257
held_out_16_3,3,0.1,0.0999682521357654,0.0690899001109878
held_out_16_3,4,0.15,0.14996825213576542,0.07130965593784684
held_out_16_3,5,0.22,0.22003290233202494,0.10099889012208657
held_out_22_4,0,0.0,0.0,0.0047169811320754715
held_out_22_4,1,0.03,0.03001907276995305,0.06270810210876804
held_out_22_4,2,0.06,0.06001320422535211,0.06354051054384018
held_out_22_4,3,0.1,0.10003080985915493,0.10183129855715871
held_out_22_4,4,0.15,0.15003080985915493,0.15177580466148724
held_out_22_4,5,0.22,0.2199662558685446,0.21614872364039955
held_out_12_1,0,0.0,0.0,0.0005549389567147614
held_out_12_1,1,0.03,0.029964335368433778,0.09184239733629301
held_out_12_1,2,0.06,0.059995164117753734,0.06798002219755826
held_out_12_1,3,0.1,0.10008462793930968,0.04411764705882353
held_out_12_1,4,0.15,0.14996675330955692,0.048834628190899
held_out_12_1,5,0.22,0.22006286646920148,0.05910099889012209
held_out_26_6,0,0.0,0.0,0.003607103218645949
held_out_26_6,1,0.03,0.03001907276995305,0.0690899001109878
held_out_26_6,2,0.06,0.06001320422535211,0.07519422863485016
held_out_26_6,3,0.1,0.10003080985915493,0.11570477247502775
held_out_26_6,4,0.15,0.15003080985915493,0.163984461709212
held_out_26_6,5,0.22,0.2199662558685446,0.22641509433962265
held_out_18_2,0,0.0,0.0,0.003329633740288568
held_out_18_2,1,0.03,0.029968110550093012,0.07796892341842397
held_out_18_2,2,0.06,0.05998671272920542,0.054661487236403995
held_out_18_2,3,0.1,0.10002923199574808,0.06714761376248612
held_out_18_2,4,0.15,0.14998937018336433,0.0835183129855716
held_out_18_2,5,0.22,0.2200186021791124,0.11736958934517203
held_out_24_5,0,0.0,0.0,0.017480577136514984
held_out_24_5,1,0.03,0.03001907276995305,0.08296337402885683
held_out_24_5,2,0.06,0.06001320422535211,0.08407325194228635
held_out_24_5,3,0.1,0.10003080985915493,0.1234739178690344
held_out_24_5,4,0.15,0.15003080985915493,0.17008879023307436
held_out_24_5,5,0.22,0.2199662558685446,0.2211431742508324
