doc_id,severity_level,niqe
doc_001,0,2.2231386058645475
doc_001,1,3.8498306100820274
doc_001,2,9.097438828114466
doc_001,3,9.163317803462165
doc_001,4,8.436121744222694
doc_001,5,8.198871552184674
doc_001,6,7.654428086385935
doc_001,7,7.819342705608342
doc_001,8,6.783936951000992
doc_002,0,1.889160209474285
doc_002,1,3.9589556421442245
doc_002,2,8.867203057045213
doc_002,3,8.630805094253182
doc_002,4,8.11632015808097
doc_002,5,8.166413277890314
doc_002,6,7.7394795714774345
doc_002,7,7.643125023665777
doc_002,8,6.856497669618705
doc_003,0,2.1079636267259625
doc_003,1,4.1614536484280205
doc_003,2,9.162252647971572
doc_003,3,8.68030182947149
doc_003,4,8.189773844673473
doc_003,5,8.198431300310249
doc_003,6,7.7228197216072125
doc_003,7,7.904483677607014
doc_003,8,7.030066339193568
doc_004,0,2.1053533344358644
doc_004,1,4.210007728080816
doc_004,2,9.098423553206288
doc_004,3,8.570646290624323
doc_004,4,8.22346919526871
doc_004,5,8.285323166053404
doc_004,6,7.7508096029807945
doc_004,7,7.884977876651506
doc_004,8,6.984031002686058
doc_005,0,1.375034028045713
doc_005,1,3.7644873834236012
doc_005,2,7.430509339364604
doc_005,3,8.586498150253698
doc_005,4,8.289596058890377
doc_005,5,7.988635052195746
doc_005,6,7.695648609575239
doc_005,7,7.817677338784193
doc_005,8,7.199786243770354
doc_006,0,1.539296846722522
doc_006,1,3.8588142467235564
doc_006,2,7.657816905599187
doc_006,3,8.861641902074515
doc_006,4,8.618821689033998
doc_006,5,7.935645761102388
doc_006,6,7.767575097836439
doc_006,7,7.933893559721535
doc_006,8,7.214012904320185
doc_007,0,1.4248279292564514
doc_007,1,3.6184033989910875
doc_007,2,7.564054039925878
doc_007,3,8.538197031989347
doc_007,4,8.211766034631752
doc_007,5,7.8436715278462925
doc_007,6,7.697610823771309
doc_007,7,7.7559133321883
doc_007,8,7.208618824649464
doc_008,0,1.4155337788692042
doc_008,1,3.722108380892541
doc_008,2,7.675086809888884
doc_008,3,8.690004427922835
doc_008,4,8.262834324397641
doc_008,5,7.891100120804796
doc_008,6,7.767600635864635
doc_008,7,7.811292788396874
doc_008,8,7.195662199587649
doc_009,0,1.4317218412592956
doc_009,1,3.777381766899845
doc_009,2,7.8449778182350824
doc_009,3,8.522314023249406
doc_009,4,8.775146668447759
doc_009,5,8.495948983244014
doc_009,6,7.955978656728627
doc_009,7,7.913350237793304
doc_009,8,7.480351366123944
doc_010,0,1.4565812684748256
doc_010,1,3.758217671574229
doc_010,2,7.887415356260191
doc_010,3,8.846783732734666
doc_010,4,9.215603879002574
doc_010,5,8.47023945386135
doc_010,6,7.755944176617929
doc_010,7,7.847006663475971
doc_010,8,7.523781596604631
doc_011,0,1.4287351229315972
doc_011,1,3.7491860150798706
doc_011,2,7.901300767006244
doc_011,3,8.750322069648442
doc_011,4,9.034479518992631
doc_011,5,8.470862237343395
doc_011,6,7.876522020907203
doc_011,7,7.9142743699713
doc_011,8,7.433704801166949
doc_012,0,1.4208062533302188
doc_012,1,3.7506281334642217
doc_012,2,7.816627220337509
doc_012,3,8.528825769169474
doc_012,4,8.780023158130962
doc_012,5,8.339111180902812
doc_012,6,7.839191995256315
doc_012,7,7.855435624977094
doc_012,8,7.357572445521206
