card_scheme,patch_color,textured,rho
lila,acik_ten,False,1.0
lila,acik_ten,True,1.0
lila,gri_mavi,False,1.0
lila,gri_mavi,True,1.0
lila,turuncu_koyu,False,1.0
lila,turuncu_koyu,True,1.0
sari_krem,acik_ten,False,1.0
sari_krem,acik_ten,True,1.0
sari_krem,gri_mavi,False,1.0
sari_krem,gri_mavi,True,1.0
sari_krem,turuncu_koyu,False,1.0
sari_krem,turuncu_koyu,True,1.0
turkuaz,acik_ten,False,1.0
turkuaz,acik_ten,True,1.0
turkuaz,gri_mavi,False,1.0
turkuaz,gri_mavi,True,1.0
turkuaz,turuncu_koyu,False,1.0
turkuaz,turuncu_koyu,True,1.0
