card_scheme,patch_color,textured,coverage_level,coverage_fraction,ml_occlusion_ratio
lila,acik_ten,False,0,0.0,0.002858776443682104
lila,acik_ten,False,1,0.2,0.01429388221841052
lila,acik_ten,False,2,0.4,0.010863350485991996
lila,acik_ten,False,3,0.6,0.0
lila,acik_ten,False,4,0.8,0.0
lila,acik_ten,False,5,1.0,0.0
lila,acik_ten,True,0,0.0,0.002858776443682104
lila,acik_ten,True,1,0.2,0.21040594625500286
lila,acik_ten,True,2,0.4,0.40823327615780447
lila,acik_ten,True,3,0.6,0.6157804459691252
lila,acik_ten,True,4,0.8,0.7924528301886793
lila,acik_ten,True,5,1.0,1.0
lila,turuncu_koyu,False,0,0.0,0.0017152658662092624
lila,turuncu_koyu,False,1,0.2,0.20754716981132076
lila,turuncu_koyu,False,2,0.4,0.42538593481989706
lila,turuncu_koyu,False,3,0.6,0.624928530588908
lila,turuncu_koyu,False,4,0.8,0.823327615780446
lila,turuncu_koyu,False,5,1.0,1.0
lila,turuncu_koyu,True,0,0.0,0.002287021154945683
lila,turuncu_koyu,True,1,0.2,0.21783876500857632
lila,turuncu_koyu,True,2,0.4,0.4311034877072613
lila,turuncu_koyu,True,3,0.6,0.6106346483704974
lila,turuncu_koyu,True,4,0.8,0.823327615780446
lila,turuncu_koyu,True,5,1.0,1.0
lila,gri_mavi,False,0,0.0,0.002287021154945683
lila,gri_mavi,False,1,0.2,0.18982275586049172
lila,gri_mavi,False,2,0.4,0.396798170383076
lila,gri_mavi,False,3,0.6,0.5860491709548313
lila,gri_mavi,False,4,0.8,0.7793024585477416
lila,gri_mavi,False,5,1.0,1.0
lila,gri_mavi,True,0,0.0,0.0017152658662092624
lila,gri_mavi,True,1,0.2,0.20754716981132076
lila,gri_mavi,True,2,0.4,0.4219554030874786
lila,gri_mavi,True,3,0.6,0.6094911377930246
lila,gri_mavi,True,4,0.8,0.823327615780446
lila,gri_mavi,True,5,1.0,1.0
sari_krem,acik_ten,False,0,0.0,0.11320754716981132
sari_krem,acik_ten,False,1,0.2,0.04288164665523156
sari_krem,acik_ten,False,2,0.4,0.0
sari_krem,acik_ten,False,3,0.6,0.0
sari_krem,acik_ten,False,4,0.8,0.0
sari_krem,acik_ten,False,5,1.0,0.0
sari_krem,acik_ten,True,0,0.0,0.11206403659233848
sari_krem,acik_ten,True,1,0.2,0.2224128073184677
sari_krem,acik_ten,True,2,0.4,0.4368210405946255
sari_krem,acik_ten,True,3,0.6,0.6226415094339622
sari_krem,acik_ten,True,4,0.8,0.823327615780446
sari_krem,acik_ten,True,5,1.0,1.0
sari_krem,turuncu_koyu,False,0,0.0,0.10920526014865638
sari_krem,turuncu_koyu,False,1,0.2,0.25614636935391655
sari_krem,turuncu_koyu,False,2,0.4,0.47913093196112067
sari_krem,turuncu_koyu,False,3,0.6,0.6529445397369925
sari_krem,turuncu_koyu,False,4,0.8,0.8502001143510578
sari_krem,turuncu_koyu,False,5,1.0,1.0
sari_krem,turuncu_koyu,True,0,0.0,0.11949685534591195
sari_krem,turuncu_koyu,True,1,0.2,0.252715837621498
sari_krem,turuncu_koyu,True,2,0.4,0.4276729559748428
sari_krem,turuncu_koyu,True,3,0.6,0.6243567753001715
sari_krem,turuncu_koyu,True,4,0.8,0.8502001143510578
sari_krem,turuncu_koyu,True,5,1.0,1.0
