doc_id,coverage_level,coverage_fraction,recognized_text,recognized_length,length_ratio,mean_confidence,occlusion_suspicion_score,font_size,num_paragraphs
doc_001,0,0.0,3746317213,10,1.0,96.0,2.0000000000000018,14,2
doc_001,1,0.2,374631724,9,0.9,64.0,23.0,14,2
doc_001,2,0.4,374631,6,0.6,67.0,36.5,14,2
doc_001,3,0.6,,0,0.0,0.0,100.0,14,2
doc_001,4,0.8,,0,0.0,0.0,100.0,14,2
doc_001,5,1.0,,0,0.0,0.0,100.0,14,2
doc_002,0,0.0,8235363119,10,1.0,95.0,2.500000000000002,14,2
doc_002,1,0.2,82353631,8,0.8,64.0,28.000000000000004,14,2
doc_002,2,0.4,823534,6,0.6,37.0,51.5,14,2
doc_002,3,0.6,8235,4,0.4,32.0,64.0,14,2
doc_002,4,0.8,,0,0.0,0.0,100.0,14,2
doc_002,5,1.0,,0,0.0,0.0,100.0,14,2
doc_003,0,0.0,7380780055,10,1.0,96.0,2.0000000000000018,14,5
doc_003,1,0.2,738078003,9,0.9,9.0,50.5,14,5
doc_003,2,0.4,738079,6,0.6,56.0,41.99999999999999,14,5
doc_003,3,0.6,7380,4,0.4,31.0,64.5,14,5
doc_003,4,0.8,,0,0.0,0.0,100.0,14,5
doc_003,5,1.0,,0,0.0,0.0,100.0,14,5
doc_004,0,0.0,3319936135,10,1.0,96.0,2.0000000000000018,14,5
doc_004,1,0.2,33199361,8,0.8,46.0,37.0,14,5
doc_004,2,0.4,331993,6,0.6,60.0,40.0,14,5
doc_004,3,0.6,3319,4,0.4,61.0,49.5,14,5
doc_004,4,0.8,,0,0.0,0.0,100.0,14,5
doc_004,5,1.0,,0,0.0,0.0,100.0,14,5
doc_005,0,0.0,3568547910,10,1.0,96.0,2.0000000000000018,20,2
doc_005,1,0.2,356854790,9,0.9,54.0,28.000000000000004,20,2
doc_005,2,0.4,3568545,7,0.7,51.0,39.5,20,2
doc_005,3,0.6,3568,4,0.4,42.0,59.0,20,2
doc_005,4,0.8,,0,0.0,0.0,100.0,20,2
doc_005,5,1.0,,0,0.0,0.0,100.0,20,2
doc_006,0,0.0,5616352188,10,1.0,95.0,2.500000000000002,20,2
doc_006,1,0.2,561635210,9,0.9,70.0,19.999999999999996,20,2
doc_006,2,0.4,5616350,7,0.7,48.0,41.0,20,2
doc_006,3,0.6,56160,5,0.5,36.0,57.00000000000001,20,2
doc_006,4,0.8,54,2,0.2,36.0,72.0,20,2
doc_006,5,1.0,,0,0.0,0.0,100.0,20,2
doc_007,0,0.0,9381721143,10,1.0,95.0,2.500000000000002,20,5
doc_007,1,0.2,938172110,9,0.9,70.0,19.999999999999996,20,5
doc_007,2,0.4,938172,6,0.6,47.0,46.50000000000001,20,5
doc_007,3,0.6,93815,5,0.5,41.0,54.50000000000001,20,5
doc_007,4,0.8,,0,0.0,0.0,100.0,20,5
doc_007,5,1.0,,0,0.0,0.0,100.0,20,5
doc_008,0,0.0,5613613759,10,1.0,96.0,2.0000000000000018,20,5
doc_008,1,0.2,561361370,9,0.9,48.0,31.000000000000007,20,5
doc_008,2,0.4,5613619,7,0.7,47.0,41.5,20,5
doc_008,3,0.6,5613395,7,0.7,47.0,41.5,20,5
doc_008,4,0.8,54,2,0.2,36.0,72.0,20,5
doc_008,5,1.0,,0,0.0,0.0,100.0,20,5
doc_009,0,0.0,6556684476,10,1.0,88.0,6.000000000000005,28,2
doc_009,1,0.2,655668449,9,0.9,51.0,29.499999999999993,28,2
doc_009,2,0.4,655668,6,0.6,59.0,40.5,28,2
doc_009,3,0.6,65565,5,0.5,43.0,53.5,28,2
doc_009,4,0.8,,0,0.0,0.0,100.0,28,2
doc_009,5,1.0,,0,0.0,0.0,100.0,28,2
doc_010,0,0.0,5150074940,10,1.0,96.0,2.0000000000000018,28,2
doc_010,1,0.2,515007490,9,0.9,29.0,40.5,28,2
doc_010,2,0.4,515007,6,0.6,56.0,41.99999999999999,28,2
doc_010,3,0.6,51500,5,0.5,57.0,46.50000000000001,28,2
doc_010,4,0.8,,0,0.0,0.0,100.0,28,2
doc_010,5,1.0,,0,0.0,0.0,100.0,28,2
doc_011,0,0.0,8183421297,10,1.0,65.0,17.500000000000004,28,5
doc_011,1,0.2,8183421209,10,1.0,21.0,39.5,28,5
doc_011,2,0.4,8183425,7,0.7,25.0,52.5,28,5
doc_011,3,0.6,818355,6,0.6,19.0,60.5,28,5
doc_011,4,0.8,,0,0.0,0.0,100.0,28,5
doc_011,5,1.0,,0,0.0,0.0,100.0,28,5
doc_012,0,0.0,2033653860,10,1.0,96.0,2.0000000000000018,28,5
doc_012,1,0.2,203365389,9,0.9,16.0,47.0,28,5
doc_012,2,0.4,2033650,7,0.7,21.0,54.50000000000001,28,5
doc_012,3,0.6,203335055,9,0.9,51.0,29.499999999999993,28,5
doc_012,4,0.8,,0,0.0,0.0,100.0,28,5
doc_012,5,1.0,,0,0.0,0.0,100.0,28,5
