skin_tone,doc_id,spearman_rho
acik,doc_001,1.0
acik,doc_002,1.0
acik,doc_003,1.0
acik,doc_004,1.0
acik,doc_005,1.0
acik,doc_006,1.0
acik,doc_007,1.0
acik,doc_008,1.0
acik,doc_009,1.0
acik,doc_010,1.0
acik,doc_011,1.0
acik,doc_012,1.0
koyu,doc_001,1.0
koyu,doc_002,1.0
koyu,doc_003,1.0
koyu,doc_004,1.0
koyu,doc_005,1.0
koyu,doc_006,1.0
koyu,doc_007,1.0
koyu,doc_008,1.0
koyu,doc_009,1.0
koyu,doc_010,1.0
koyu,doc_011,1.0
koyu,doc_012,1.0
orta,doc_001,1.0
orta,doc_002,1.0
orta,doc_003,1.0
orta,doc_004,1.0
orta,doc_005,1.0
orta,doc_006,1.0
orta,doc_007,1.0
orta,doc_008,1.0
orta,doc_009,1.0
orta,doc_010,1.0
orta,doc_011,1.0
orta,doc_012,1.0
